,trialId,fitnessScore,fitness,RateOfLayingPheromone,ProbabilityOfSwitchingToSearching,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation
8918,8918.0,0.006640625,0.006640625,5.14985358981,3.75604076357e-05,0.0,0.0501149718838,11.7359056214,3.42669483794,4.79356148556
1341,1341.0,0.016796875,0.016796875,17.3268988524,0.000122702414617,0.0,4.10395410525,14.3559902871,3.14106958081,0.269402501257
58,58.0,0.042578125,0.042578125,6.65369025165,7.73732973176e-05,0.0,4.27224480994,1.16515930355,0.236155267624,12.1385096802
4667,4667.0,0.059765625,0.059765625,13.6815040914,0.000435469279704,0.0,4.89992448946,11.1690689338,2.28932641087,1.50271911704
1692,1692.0,0.06640625,0.06640625,17.8493361361,0.000573401321344,0.0,3.08786225002,17.3836106834,4.76092884115,1.61029525179
86,86.0,0.08125,0.08125,18.4611058766,0.000657017404453,0.0,1.6585199758,19.9173666237,0.189111268764,10.2863708005
94,94.0,0.09296875,0.09296875,2.10585748789,0.000176359224695,0.0,1.05404545215,1.42511014981,9.6392009543,1.69128885356
1226,1226.0,0.093359375,0.093359375,12.2822932097,0.000814450245942,0.0,1.96130418794,6.73258441637,3.78471063302,0.743980098419
6658,6658.0,0.094921875,0.094921875,17.7607557629,0.00068166496263,0.0,3.0369484484,9.38057007489,5.59659890217,1.03153518593
4394,4394.0,0.096875,0.096875,7.53064790592,0.000819554326183,0.0,4.85966807285,6.03821148795,1.72706297015,1.72525713036
7501,7501.0,0.10546875,0.10546875,17.8816831907,0.000982365325466,0.0,0.263066913619,18.0446237434,0.717615122807,1.87789444156
4785,4785.0,0.10625,0.10625,2.28588945699,0.000613520158703,0.0,0.90807817607,8.19099042877,2.08563521391,1.42404196389
1730,1730.0,0.115625,0.115625,9.76414593763,0.00103717603267,0.0,3.14084927135,8.57750601751,0.589709999045,3.50251945859
6360,6360.0,0.1203125,0.1203125,13.4567591053,0.0010034485385,0.0,4.13086762016,15.9910156103,2.02598744865,12.2194365004
6203,6203.0,0.127734375,0.127734375,19.7807039781,0.00118187856541,0.0,1.90209774146,4.9247969561,5.99014236718,0.614823417476
2808,2808.0,0.13046875,0.13046875,11.5929581541,0.000444062850942,0.0,3.6239068791,1.59782388878,1.70454533848,2.14172883376
7426,7426.0,0.131640625,0.131640625,14.7138912275,0.0014335797968,0.0,2.85460761657,12.5174758552,2.886193234,0.31923813529
5695,5695.0,0.1359375,0.1359375,14.6276875211,0.00152949155937,0.0,4.08612573643,6.37799689976,7.56036804111,1.59221298852
