,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
1468,1468,2,5.95E-14,0.388749864,1.648087425,19.71850315,9.999999974,2.579122879,0.7703125,0.7703125,0.880331625
1637,1637,2,5.96E-14,0.386289184,1.647967846,19.718586,9.999999974,2.578533779,0.770572917,0.770572917,0.880374863
2272,2272,2,6.79E-14,0.496181292,1.674407,19.9246917,9.999999997,2.844693204,0.770572917,0.770572917,0.968362125
2604,2604,2,1.93E-14,0.314815196,2.231897493,18.50335424,10,0.852551546,0.770572917,0.770572917,0.350094745
2283,2283,2,6.75E-14,0.511680732,1.788976183,19.60271843,9.999999987,2.649840177,0.770963542,0.770963542,0.869362953
2274,2274,2,6.41E-14,0.712063439,1.813699085,19.6289355,9.999999982,2.887279246,0.77109375,0.77109375,0.89281355
2246,2246,2,7.05E-14,0.383044773,1.815999309,19.60767575,9.999999987,2.659079306,0.77109375,0.77109375,0.869914961
1847,1847,2,6.16E-14,0.401892745,1.65706124,19.77391412,9.999999985,2.651507262,0.77109375,0.77109375,0.903987031
1295,1295,2,5.34E-14,0.298932244,1.626697888,19.55125459,9.999999851,2.363490232,0.771484375,0.771484375,0.808928687
2228,2228,2,6.14E-14,0.400902966,1.656359612,19.76956861,9.999999984,2.645841802,0.771484375,0.771484375,0.902131772
2130,2130,2,7.31E-14,0.618568578,1.891424269,19.54221498,9.999999995,2.714096066,0.771614583,0.771614583,0.868123528
2288,2288,2,6.74E-14,0.506096293,1.788879393,19.60277059,9.999999987,2.649214166,0.771744792,0.771744792,0.86942507
1833,1833,2,2.54E-14,0.28900436,1.804591379,19.3047313,10,1.862989355,0.771875,0.771875,0.684361322
2496,2496,2,1.20E-13,0.487903036,1.551534936,19.86112295,9.999999363,3.257645932,0.771875,0.771875,0.925971111
2792,2792,2,6.76E-14,0.519800541,1.788246652,19.60246076,9.999999987,2.650656268,0.772005208,0.772005208,0.869398834
1545,1545,2,5.78E-14,0.257491995,1.584466532,19.75327305,9.999999969,2.461039763,0.772005208,0.772005208,0.87560105
2570,2570,2,6.76E-14,0.513432695,1.78870114,19.6032444,9.999999987,2.650212498,0.772135417,0.772135417,0.869396312
2284,2284,2,6.25E-14,0.602710791,1.756288737,19.65937742,9.99999998,2.77977843,0.772135417,0.772135417,0.88840125
2765,2765,2,6.64E-14,0.373959118,1.839829261,18.86500062,9.999999996,2.397666487,0.772265625,0.772265625,0.808851336
1567,1567,2,5.00E-14,0.258451443,1.610090718,19.44980887,9.999999584,2.235758572,0.772265625,0.772265625,0.766492445
2917,2917,2,6.01E-14,0.393262104,1.650805524,19.73447213,9.999999978,2.600294659,0.772395833,0.772395833,0.887224603
2670,2670,2,5.96E-14,0.393016637,1.648073307,19.71778678,9.999999973,2.577472687,0.772526042,0.772526042,0.879744297
1300,1300,2,6.16E-14,0.421361385,1.685202172,19.69182099,9.999999979,2.601621882,0.772526042,0.772526042,0.878810272
1313,1313,2,5.95E-14,0.388773409,1.648023731,19.71856568,9.999999974,2.579018111,0.77265625,0.77265625,0.880343515
2942,2942,2,6.04E-14,0.404009511,1.662930455,19.70547704,9.999999975,2.586875858,0.77265625,0.77265625,0.879247024
1368,1368,2,6.33E-14,0.448234814,1.714277456,19.67041119,9.999999982,2.619295521,0.77265625,0.77265625,0.877588188
