,trialId,fitnessScore,fitness,RateOfLayingPheromone,ProbabilityOfSwitchingToSearching,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation
8982,8982.0,0.0162760416667,0.0162760416667,18.454803823,0.000109192734298,0.0,2.11545313735,11.3517972066,7.91392016041,6.57467901169
670,670.0,0.085546875,0.085546875,18.0035160076,0.000731654909371,0.0,0.0568200817352,9.34739935406,0.089223814813,11.7885829378
856,856.0,0.0958333333333,0.0958333333333,6.53603316118,0.000274342694773,0.0,1.47353385469,2.8375877576,8.45385446987,8.54340147791
3706,3706.0,0.0971354166667,0.0971354166667,13.7076947024,8.15999474273e-05,0.0,1.34637254009,0.874015346653,3.95184328558,4.41411981548
4968,4968.0,0.100260416667,0.100260416667,15.7459860669,0.000949629792568,0.0,0.181591544713,18.9236515237,8.72846029718,11.7054256968
327,327.0,0.1125,0.1125,19.7719443099,0.000754230548009,0.0,4.53820691654,5.25809710397,1.41319879257,0.215665004264
5405,5405.0,0.133333333333,0.133333333333,4.8064946717,0.000507094257255,0.0,0.473096239003,3.41544605597,7.89373388688,2.09014510751
5831,5831.0,0.134505208333,0.134505208333,12.3526711434,0.00132759178288,0.0,0.395815237963,8.96776362642,0.104181378686,9.80328210608
6722,6722.0,0.142708333333,0.142708333333,10.9411879738,0.00149847643089,0.0,4.69235272367,19.2724139046,0.412605417163,4.68725009781
224,224.0,0.1484375,0.1484375,19.1273063606,0.00161835204502,0.0,0.611086721326,9.86912649894,9.72623898812,11.1084557251
419,419.0,0.149869791667,0.149869791667,17.9765313989,0.00174594378242,0.0,3.15987708885,13.9067412224,2.93915987662,11.7700755101
1138,1138.0,0.15078125,0.15078125,12.770240669,0.00177323233212,0.0,2.64595604128,14.1582741997,5.06691440853,6.8302305391
8785,8785.0,0.158854166667,0.158854166667,4.04241201833,0.000923602260969,0.0,0.0176233922181,15.1658525425,9.87712082676,7.04101648208
4669,4669.0,0.16796875,0.16796875,8.31622655331,0.00177995196154,0.0,3.7655133893,9.25858602306,9.10273473731,12.0168820204
3873,3873.0,0.168229166667,0.168229166667,16.3093097385,0.00220781467624,0.0,2.23993310665,13.0439628693,8.89239928492,5.07991801636
7545,7545.0,0.17421875,0.17421875,19.1481158622,0.00203020196836,0.0,4.48024666355,7.8839424797,5.12200010422,0.909736755958
4104,4104.0,0.175130208333,0.175130208333,7.57613882009,0.00131511223666,0.0,0.345416861128,5.35203315609,9.89100736792,2.09887544766
740,740.0,0.176953125,0.176953125,17.9896960714,0.00262984889573,0.0,4.75650513277,18.1259647995,3.14979251982,0.196070494901
8797,8797.0,0.19453125,0.19453125,10.5984389025,0.00274976646048,0.0,0.334701390083,14.1752726016,3.11945157439,10.1757761432
308,308.0,0.20234375,0.20234375,1.71872226105,0.00042392613297,0.0,4.99474947608,19.0478099949,9.63188873171,5.24441227634
6032,6032.0,0.203125,0.203125,3.16412487001,0.00114298830993,0.0,1.31756111982,9.05252900203,9.71860695426,3.8542674988
4211,4211.0,0.204817708333,0.204817708333,12.9307846243,0.00309825453745,0.0,3.69234752049,9.6445952441,0.41677375258,7.82662226619
8472,8472.0,0.209765625,0.209765625,18.1022488386,0.00374275765446,0.0,3.3824834354,17.0047970188,7.01427778128,6.12816252927
228,228.0,0.212760416667,0.212760416667,18.0251783328,0.00340030745651,0.0,4.89967101593,16.919104095,0.408128828856,2.48200420892
232,232.0,0.225,0.225,0.939014200822,0.977561801953,0.0,0.000663068230927,0.707676096517,4.91434419182,11.5603413285
853,853.0,0.225,0.225,18.1859102434,0.00400661736801,0.0,0.125261272608,19.6391273055,9.89592546326,12.1658368271
6669,6669.0,0.225130208333,0.225130208333,18.1864448778,0.00315593395952,0.0,0.776153426384,7.1320317851,0.334287424825,8.9674764161
9954,9954.0,0.225390625,0.225390625,19.7921669686,0.00292804904143,0.0,1.16386557449,6.06969348547,9.01088970773,11.7521475957
4222,4222.0,0.23046875,0.23046875,17.2921577294,0.00380692578987,0.0,0.919943972655,8.12195504946,9.86084496125,10.8386267456
384,384.0,0.232942708333,0.232942708333,19.2677820848,0.00465231117602,0.0,0.142271942005,19.5339959522,0.0252779624455,7.53739321365
9331,9331.0,0.235546875,0.235546875,15.4529192282,0.00408558559454,0.0,3.28649375633,17.3705928096,3.2338475226,2.25152260633
1565,1565.0,0.236588541667,0.236588541667,10.2268723996,0.0036353184091,0.0,3.39552025734,6.83181480746,3.0056167874,7.73990825847
1349,1349.0,0.23984375,0.23984375,13.2722956438,0.00430447828662,0.0,0.0600402398846,19.6810301687,9.73511548096,10.823840363
5154,5154.0,0.245833333333,0.245833333333,0.181025419229,0.000123467066689,0.0,1.30936676088,15.871875977,7.32544975346,7.83070521125
297,297.0,0.248567708333,0.248567708333,0.673981608638,0.0334420815136,0.0,0.00147475549758,0.0762683080272,9.14735761104,6.64322205023
61,61.0,0.248697916667,0.248697916667,0.678471284845,0.0506537110587,0.0,0.00196296345793,1.09030848415,9.21143522589,1.22396321247
875,875.0,0.258723958333,0.258723958333,19.5984364309,0.00524964512042,0.0,4.51443147329,19.1241346274,2.84512494386,12.2125586938
982,982.0,0.265234375,0.265234375,12.4433285341,0.00641831322405,0.0,4.88828742973,18.8477456105,0.480276597546,11.8088745293
53,53.0,0.268489583333,0.268489583333,14.0328507348,0.00635162932759,0.0,4.98389300524,18.4476972818,9.69788786696,0.204048508951
3659,3659.0,0.275911458333,0.275911458333,18.2870506178,0.00102229755052,0.0,0.48756307282,2.35615735465,1.91478289073,2.70292209974
3661,3661.0,0.278125,0.278125,14.3590275396,0.00328745509069,0.0,4.16509478511,4.44233245922,1.74193065781,8.91840617791
4788,4788.0,0.285416666667,0.285416666667,0.688021377877,0.0878933336214,0.0,0.00235142725915,5.58507610286,2.44229349796,0.824019375287
453,453.0,0.285677083333,0.285677083333,13.9333314606,0.00641199297917,0.0,4.91553890114,19.8239454746,3.76734888375,0.402193490286
9987,9987.0,0.28671875,0.28671875,12.1235940959,0.0066718878889,0.0,2.86949259307,10.2885134859,9.50292345824,12.0551649897
7834,7834.0,0.290364583333,0.290364583333,19.9307468036,0.00678734844326,0.0,0.646872342921,8.50866256755,2.53874510183,7.48084639631
8660,8660.0,0.292317708333,0.292317708333,11.6020258321,0.00757262675847,0.0,3.75293759517,11.3751184337,4.25163236497,9.07814189453
8630,8630.0,0.308333333333,0.308333333333,5.95689577373,0.00409564871046,0.0,0.516181772124,5.33042143247,1.73831837668,2.34428813355
5578,5578.0,0.309375,0.309375,7.77055824887,0.359096147484,0.0,0.00618193635242,0.458432860789,2.43712022712,0.403561594302
1068,1068.0,0.311328125,0.311328125,0.0569420580479,0.836912770222,0.0,0.00655912290226,12.7100279054,7.9189122161,0.897888703744
7770,7770.0,0.316796875,0.316796875,10.8234106698,0.00959019515823,0.0,2.22360960794,14.3478323997,7.14887831669,5.56761786353
217,217.0,0.317838541667,0.317838541667,19.651152136,0.0781589896815,0.0,0.000483965162568,1.42829489077,0.634405531375,0.410851760496
8346,8346.0,0.319140625,0.319140625,13.0509592611,0.00820625175508,0.0,4.95553480914,13.9019263602,3.33984855842,7.7997447342
8477,8477.0,0.321744791667,0.321744791667,0.812017418278,0.515829874128,0.0,0.00592121966087,3.7467354344,9.54917202119,5.56433987038
582,582.0,0.323958333333,0.323958333333,17.1692056977,0.00885163955502,0.0,0.319774535957,19.7482854539,9.76470084861,1.41585686988
5534,5534.0,0.325520833333,0.325520833333,0.32713801504,0.926062542667,0.0,0.00763904288241,16.5187202517,8.06832634616,11.1431538489
6938,6938.0,0.3265625,0.3265625,18.5090008079,0.00896700242183,0.0,0.389209873772,9.51498876389,8.74582942302,7.82494105231
8978,8978.0,0.328255208333,0.328255208333,10.4390506575,0.00503476941298,0.0,3.67708005337,4.79942778773,7.66687919112,1.95051632015
6911,6911.0,0.334375,0.334375,14.9914593195,0.00784212044846,0.0,1.48494611403,9.38936813426,1.17568946714,0.585198898959
5095,5095.0,0.334635416667,0.334635416667,8.67462180535,0.00919095923483,0.0,2.98085495501,12.5173333457,6.97890826173,11.9621981888
3512,3512.0,0.335026041667,0.335026041667,17.2843631309,0.00410525268471,0.0,0.174487180245,3.6793300198,0.135753035368,8.50656987328
8337,8337.0,0.3359375,0.3359375,17.9055024328,0.00872830122998,0.0,2.75036303721,9.80002597234,7.21142362608,0.950882256304
2882,2882.0,0.337109375,0.337109375,15.5868846072,0.00478673699286,0.0,2.24078606314,4.48871857809,0.50804996658,11.0832582233
9216,9216.0,0.3375,0.3375,13.6710724931,0.009732834692,0.0,4.09228714686,18.4888057094,4.52510285714,5.86743096747
9147,9147.0,0.340104166667,0.340104166667,0.261018522706,0.999612173247,0.0,0.00676713601413,2.50589989106,9.40681808066,1.73996762281
3026,3026.0,0.342317708333,0.342317708333,18.56407602,0.866622198966,0.0,0.00372370235549,1.50868795722,9.7154657247,3.9405576601
75,75.0,0.344140625,0.344140625,13.8706680784,0.0114409004778,0.0,2.42887746041,10.7234485944,8.72427982083,12.0937456674
976,976.0,0.345052083333,0.345052083333,15.9378453756,0.00885303791664,0.0,4.11052447013,19.9270054958,0.405453351257,0.145924515953
6142,6142.0,0.345052083333,0.345052083333,7.89466995498,0.00971663326462,0.0,4.73184232919,12.3015662567,8.02565990354,11.8112678927
1408,1408.0,0.346614583333,0.346614583333,10.6593424758,0.00797089129598,0.0,4.00544533353,5.52318100669,3.69104143352,11.704029544
965,965.0,0.348958333333,0.348958333333,18.8014025435,0.229606827294,0.0,0.0100014178607,0.432322930697,9.86880940972,6.97068071372
1095,1095.0,0.350651041667,0.350651041667,0.0855703366827,0.168095456596,0.0,0.0124790503605,2.0744362315,9.2990297966,1.37619906782
2071,2071.0,0.3515625,0.3515625,19.5803063869,0.945002454562,0.0,0.00154491033086,1.84843363769,0.424364641211,3.15196143897
8217,8217.0,0.353385416667,0.353385416667,10.7723707152,0.0101394763257,0.0,2.87035070197,17.1778321169,3.16315627666,5.87889529145
291,291.0,0.354036458333,0.354036458333,0.466710530754,0.973226823527,0.0,0.0120866705987,0.352032842021,0.442964615696,4.74104142612
503,503.0,0.357291666667,0.357291666667,0.820847051857,0.100459974278,0.0,0.0110509436755,18.099218038,0.185182164655,2.80455056819
774,774.0,0.360026041667,0.360026041667,3.50962390905,0.0045042688006,0.0,0.528946241522,19.644645524,9.15355410568,12.216068484
8434,8434.0,0.3640625,0.3640625,4.94637109136,0.257836063179,0.0,0.00233394736611,1.87286440339,3.67770735793,0.620278150111
2674,2674.0,0.364583333333,0.364583333333,1.65041906988,0.00136820245715,0.0,1.2913556188,8.77297012342,4.54779820329,11.7431089283
3431,3431.0,0.367578125,0.367578125,3.89377850803,0.116877535871,0.0,0.00250049325092,2.49838647539,1.91454518004,3.58125171584
3072,3072.0,0.370833333333,0.370833333333,14.0403618967,0.00938285955463,0.0,3.71725217295,6.13011581013,9.08006195157,6.96966192775
375,375.0,0.372265625,0.372265625,14.5822871481,0.0135437866918,0.0,3.97023806694,19.7444852483,0.341119725406,0.462980339089
106,106.0,0.3734375,0.3734375,0.390028238094,0.0753736911061,0.0,0.0107673022993,16.2722744916,7.40847545125,0.590876669491
1434,1434.0,0.373697916667,0.373697916667,11.1442938191,0.012650694247,0.0,0.27711817469,18.3182564899,9.54386544403,0.970688486886
2320,2320.0,0.374348958333,0.374348958333,15.7394207405,0.0103704092828,0.0,1.69591557708,15.919575166,6.31189584541,5.15847574308
3641,3641.0,0.375390625,0.375390625,17.4945075291,0.00779767567058,0.0,4.27612094526,5.25061913121,6.19495254895,12.0495037585
7296,7296.0,0.377604166667,0.377604166667,5.03766144883,0.00194863667361,0.0,0.274491626087,2.38884846145,2.66127724572,1.54549284584
5558,5558.0,0.380078125,0.380078125,6.8090958103,0.00890205648325,0.0,1.83774038388,13.3442546364,1.52660463111,5.10123903963
8499,8499.0,0.381510416667,0.381510416667,19.9175766827,0.0147808157823,0.0,0.178037005516,15.7943427003,4.34279839836,9.49708308681
664,664.0,0.38203125,0.38203125,1.89186681646,0.0017151611196,0.0,4.35501446555,16.9207787845,9.94201486279,0.306223337552
8932,8932.0,0.382552083333,0.382552083333,5.71839652879,0.00980442613943,0.0,2.03576270247,10.8048341705,4.75151786859,12.4300891069
890,890.0,0.383463541667,0.383463541667,19.7004959115,0.00629921055177,0.0,3.8847545377,3.80224305036,7.53252006425,12.2356707947
9998,9998.0,0.386328125,0.386328125,9.9444145525,0.0100423410027,0.0,2.99102360073,6.11603367454,3.95725860373,2.71718911512
2425,2425.0,0.38671875,0.38671875,8.77778139187,0.0131870399717,0.0,2.18745013509,16.8514179914,5.2201077085,9.7302789255
2489,2489.0,0.387630208333,0.387630208333,17.326201858,0.0160223941993,0.0,0.520309253365,16.3908224884,4.82301959839,12.124695148
587,587.0,0.390104166667,0.390104166667,12.4427843072,0.011828470733,0.0,0.937165544703,18.8240722491,1.42793604833,3.94471391985
5953,5953.0,0.394010416667,0.394010416667,16.0823660417,0.0118124839032,0.0,1.74419645154,9.20661815473,9.84401601661,11.2900514778
918,918.0,0.395572916667,0.395572916667,18.8186419088,0.000288152829889,0.0,0.204944622643,0.00493511489605,5.43546884262,12.2296711977
9911,9911.0,0.399348958333,0.399348958333,2.13268618112,0.802220784845,0.0,0.00718891601547,1.74008748675,7.44182809299,1.49141700675
