,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
1071,1071,2,0.000892284,5,16.63974433,7.499737058,10,6.986677833,0.627473958,0.627473958,0.853959504
2876,2876,2,6.75E-08,4.999999998,16.03724918,7.676156486,9.999963612,10.01657588,0.627473958,0.627473958,0.136076104
2673,2673,2,1.59E-07,4.999999998,14.75229265,14.36197033,9.999999987,0.114023547,0.627604167,0.627604167,0.644306812
662,662,2,3.51E-12,0.749595439,16.05540302,5.286342912,7.424451221,11.5132999,0.627604167,0.627604167,0.070689161
350,350,2,2.85E-09,4.917606176,10.31075762,18.23837605,4.466056456,7.328306528,0.627604167,0.627604167,0.56309255
2950,2950,2,1.18E-06,5,14.32838482,4.933450537,10,10.17701192,0.627604167,0.627604167,0.378464255
2893,2893,2,3.69E-05,4.999818199,12.18035826,10.95778625,10,7.998655169,0.627604167,0.627604167,0.825693105
2312,2312,2,6.03E-09,4.993664713,11.37412463,19.3399314,9.997310019,7.442311522,0.627864583,0.627864583,0.394218399
481,481,2,3.64E-12,5,0.301807027,19.74400972,9.999988979,0.021005149,0.628125,0.628125,0.008887471
2528,2528,2,3.45E-14,5,6.382527111,12.3326571,10,9.967028367,0.628255208,0.628255208,0.358773573
468,468,2,5.63E-05,5,6.304826722,5.273976805,10,11.31399027,0.628255208,0.628255208,0.705126348
2041,2041,2,1.99E-12,5,15.69049118,5.731040014,10,8.464582366,0.628255208,0.628255208,0.28759291
500,500,2,0.002196692,5,13.99347317,4.755713932,9.999999999,7.51806192,0.628255208,0.628255208,0.896828779
2864,2864,2,0.000481281,4.999999855,11.30180214,18.98792646,10,7.477617232,0.628385417,0.628385417,0.297532862
1116,1116,2,2.15E-07,4.999994839,9.971191689,6.02078921,8.828888636,9.35747766,0.628645833,0.628645833,0.179876317
467,467,2,1.03E-11,4.973146274,18.06534284,19.47511879,9.999997897,7.176070715,0.628645833,0.628645833,0.60899806
2577,2577,2,5.39E-14,1.156079648,15.26245338,14.81907661,10,7.284858619,0.628645833,0.628645833,0.291753963
8,8,2,0.003540158,4.999999999,6.374139786,8.355209827,9.998760076,6.108456507,0.629166667,0.629166667,0.383363247
818,818,2,1.13E-14,4.76692069,11.40108637,19.63297999,10,0.265043232,0.629166667,0.629166667,0.991375911
268,268,2,4.21E-12,1.703115919,19.37732889,19.90201703,9.945155887,7.319437624,0.629296875,0.629296875,0.071395749
78,78,2,4.71E-12,4.999999996,6.303450962,10.96333076,9.999999982,9.63560772,0.629427083,0.629427083,0.143140017
276,276,2,0.001642685,4.999999995,18.28698547,0.55393906,6.718218242,12.53802495,0.629817708,0.629817708,0.020525613
1974,1974,2,2.43E-09,4.999990812,8.854798456,12.69611373,10,6.439913818,0.629817708,0.629817708,0.795637367
2073,2073,2,4.60E-13,4.96331572,8.025669742,14.25035972,10,7.769988865,0.629947917,0.629947917,0.098801416
663,663,2,2.03E-13,5,1.555132485,7.624069133,10,11.89071028,0.629947917,0.629947917,0.018717523
1016,1016,2,3.35E-11,4.981458585,14.17701732,10.32000856,10,5.201895676,0.629947917,0.629947917,0.787144062
263,263,2,1.49E-13,4.499784987,0.667093331,0.165775714,9.829356912,0.357180939,0.630208333,0.630208333,0.011118594
1471,1471,2,1.12E-06,4.999274181,11.67556018,4.883236313,10,10.35026654,0.630989583,0.630989583,0.831852156
1875,1875,2,2.92E-11,4.999985621,17.57994843,11.42082538,9.999996067,0.041839437,0.631119792,0.631119792,0.279675332
2392,2392,2,3.30E-08,3.365656619,7.019680835,18.89583178,10,7.61063718,0.631380208,0.631380208,0.266649085
65,65,2,0.003111334,4.968845067,3.273265969,0.931001202,10,0.280218569,0.631380208,0.631380208,0.016723352
1337,1337,2,3.65E-07,4.999826044,8.632359326,18.58062796,9.999999996,7.134352252,0.631510417,0.631510417,0.46454785
2536,2536,2,1.31E-06,5,5.810693655,16.35549917,9.999475411,8.981955138,0.631640625,0.631640625,0.527920244
189,189,2,5.79E-14,0.910662336,19.59321493,19.93538714,10,0.149820543,0.631901042,0.631901042,0.783690758
2989,2989,2,5.17E-13,4.999999954,13.75834361,19.58617585,9.539273876,6.604137733,0.632421875,0.632421875,0.45636836
2827,2827,2,8.04E-11,4.99999909,12.12484882,14.63610453,9.999999999,4.380844379,0.632552083,0.632552083,0.053244296
2219,2219,2,0.00152622,5,3.085880513,5.986565793,9.962729035,10.90686221,0.632682292,0.632682292,0.959959606
2927,2927,2,1.00E-12,5,17.8975263,6.111907087,9.997515798,9.370675232,0.632942708,0.632942708,0.976741058
2350,2350,2,0.003535381,4.999910032,5.851829102,2.124289233,9.999915035,10.11003099,0.633072917,0.633072917,0.18328987
565,565,2,6.64E-14,3.426529108,0.684253786,17.06928501,10,11.98114221,0.633203125,0.633203125,0.011258748
1903,1903,2,1.18E-10,4.51775885,9.008773741,14.31366651,10,7.26162687,0.633333333,0.633333333,0.594960252
12,12,2,3.46E-12,4.391113889,7.244021893,8.168764114,10,7.542090314,0.633463542,0.633463542,0.831519246
2002,2002,2,0.000236504,5,13.88404116,4.633484339,9.126496187,9.887274235,0.63359375,0.63359375,0.086159672
2578,2578,2,8.59E-09,4.999999957,19.98290224,16.08048787,10,6.307163592,0.634114583,0.634114583,0.565178722
1942,1942,2,1.55E-07,4.999999846,10.56231863,12.51098682,9.999999999,0.543204809,0.634244792,0.634244792,0.634584914
1630,1630,2,9.35E-10,5,5.335209827,18.25048033,10,9.017800848,0.634375,0.634375,0.965682965
1239,1239,2,5.54E-13,0.316908861,6.664022666,16.37907922,10,7.958300952,0.634765625,0.634765625,0.900398601
492,492,2,2.98E-13,2.7977303,14.89123714,11.90339081,10,4.057216584,0.634895833,0.634895833,0.064159081
762,762,2,0.000100439,4.790645345,2.230175935,0.912347817,5.070447608,12.41088541,0.635286458,0.635286458,0.008322253
2534,2534,2,1.41E-12,4.714884043,3.706150172,16.59204286,9.999991789,10.67517417,0.635416667,0.635416667,0.114360162
2605,2605,2,2.53E-09,4.999931606,5.208341326,9.675324079,9.999833018,9.941808851,0.635807292,0.635807292,0.55798799
2563,2563,2,2.77E-14,2.161895515,10.65293481,19.37846297,10,6.701985212,0.635807292,0.635807292,0.525751773
2009,2009,2,0.000249692,0.876439377,11.64303755,11.4348855,9.999785561,6.355127064,0.6359375,0.6359375,0.440366632
2710,2710,2,9.18E-12,5,15.15272761,7.952760011,9.99999989,8.519469525,0.636067708,0.636067708,0.062744556
2485,2485,2,2.42E-05,5,5.615114445,11.03393845,9.999999979,9.184118101,0.636197917,0.636197917,0.619099489
2962,2962,2,3.08E-07,5,15.14877424,13.54962611,9.999999987,5.962367135,0.636328125,0.636328125,0.836607058
1134,1134,2,9.01E-11,5,12.82526136,13.83654401,10,6.398261721,0.636328125,0.636328125,0.663263412
2429,2429,2,1.28E-11,5,16.55917011,9.934779866,9.999999963,6.854855467,0.636458333,0.636458333,0.475084591
697,697,2,1.10E-13,1.779455912,17.59949093,19.29069719,6.260262986,0.149168681,0.63671875,0.63671875,0.802057558
117,117,2,2.99E-14,5,18.26749755,16.21148933,5.478983733,0.263464904,0.636848958,0.636848958,0.904070818
1366,1366,2,1.24E-13,5,14.42319804,17.50525643,9.999999955,3.778446973,0.636848958,0.636848958,0.881750509
2042,2042,2,7.42E-12,4.999997663,19.6009753,8.918073958,9.982289614,6.285901985,0.636848958,0.636848958,0.245567368
1897,1897,2,1.41E-08,4.999999988,7.734846243,19.34004943,9.997665259,5.08148218,0.636979167,0.636979167,0.188630639
2614,2614,2,2.99E-06,5,15.84357801,16.0432536,10,5.199101187,0.637109375,0.637109375,0.567337513
958,958,2,4.33E-13,4.462650376,15.5817487,19.58643576,9.999362634,0.493539206,0.637109375,0.637109375,0.925810265
2260,2260,2,2.04E-08,4.999999825,14.11859827,18.77445922,9.999992891,6.900452835,0.637109375,0.637109375,0.069078855
42,42,2,0.001442138,4.553878095,18.14426144,15.59938164,9.978905152,0.466056257,0.637239583,0.637239583,0.579715639
1975,1975,2,0.000381992,4.999999996,19.44651929,7.194548271,10,7.943498748,0.637239583,0.637239583,0.581061661
1513,1513,2,0.000318641,4.999999398,11.9717982,14.36501649,9.999970804,5.379825242,0.637239583,0.637239583,0.824380702
2340,2340,2,1.91E-12,4.977941438,16.94822252,17.31836514,10,0.114800816,0.637369792,0.637369792,0.600524929
2964,2964,2,1.20E-12,4.840695414,8.915201413,10.79586233,9.999841823,6.252318772,0.637630208,0.637630208,0.717582728
75,75,2,2.79E-14,5,0.420284838,19.14810756,10,11.96512843,0.637760417,0.637760417,0.009067952
2926,2926,2,0.000298683,5,17.37921574,10.43431462,9.999922316,4.662578797,0.637890625,0.637890625,0.546640689
2407,2407,2,1.13E-14,0.042854414,1.867432217,19.08592839,10,1.308557186,0.637890625,0.637890625,0.560688219
1502,1502,2,2.19E-07,5,13.84278446,13.50112597,9.999983053,5.728206194,0.637890625,0.637890625,0.185261216
