points, score, method, dist
227.0, 0.88671875, ht, 0
226.0, 0.8828125, ht, 0
221.0, 0.86328125, ht, 0
220.0, 0.859375, ht, 0
227.0, 0.88671875, ht, 0
223.0, 0.87109375, ht, 0
224.0, 0.875, ht, 0
218.0, 0.8515625, ht, 0
220.0, 0.859375, ht, 0
180.0, 0.703125, ht, 1
187.0, 0.73046875, ht, 1
185.0, 0.72265625, ht, 1
230.0, 0.8984375, ht, 1
177.0, 0.69140625, ht, 1
209.0, 0.81640625, ht, 1
191.0, 0.74609375, ht, 1
212.0, 0.828125, ht, 1
181.0, 0.70703125, ht, 1
201.0, 0.78515625, ht, 1
180.0, 0.703125, ht, 1
181.0, 0.70703125, ht, 1
177.0, 0.69140625, ht, 1
189.0, 0.73828125, ht, 1
209.0, 0.81640625, ht, 1
213.0, 0.83203125, ht, 1
186.0, 0.7265625, ht, 1
188.0, 0.734375, ht, 1
188.0, 0.734375, ht, 1
176.0, 0.6875, ht, 1
177.0, 0.69140625, ht, 1
174.0, 0.6796875, ht, 1
157.0, 0.61328125, ht, 1
204.0, 0.796875, ht, 1
211.0, 0.82421875, ht, 1
176.0, 0.6875, ht, 1
191.0, 0.74609375, ht, 1
170.0, 0.6640625, ht, 1
175.0, 0.68359375, ht, 1
161.0, 0.62890625, ht, 1
187.0, 0.73046875, ht, 1
187.0, 0.73046875, ht, 1
201.0, 0.78515625, ht, 1
168.0, 0.65625, ht, 1
191.0, 0.74609375, ht, 1
207.0, 0.80859375, ht, 1
228.0, 0.890625, ht, 1
163.0, 0.63671875, ht, 1
190.0, 0.7421875, ht, 1
196.0, 0.765625, ht, 1
202.0, 0.7890625, ht, 1
218.0, 0.8515625, ht, 1
196.0, 0.765625, ht, 1
169.0, 0.66015625, ht, 1
194.0, 0.7578125, ht, 1
198.0, 0.7734375, ht, 1
165.0, 0.64453125, ht, 1
203.0, 0.79296875, ht, 1
194.0, 0.7578125, ht, 1
195.0, 0.76171875, ht, 1
210.0, 0.8203125, ht, 2
189.0, 0.73828125, ht, 2
183.0, 0.71484375, ht, 2
198.0, 0.7734375, ht, 2
177.0, 0.69140625, ht, 2
174.0, 0.6796875, ht, 2
189.0, 0.73828125, ht, 2
179.0, 0.69921875, ht, 2
197.0, 0.76953125, ht, 2
185.0, 0.72265625, ht, 2
179.0, 0.69921875, ht, 2
200.0, 0.78125, ht, 2
196.0, 0.765625, ht, 2
202.0, 0.7890625, ht, 2
205.0, 0.80078125, ht, 2
196.0, 0.765625, ht, 2
189.0, 0.73828125, ht, 2
192.0, 0.75, ht, 2
196.0, 0.765625, ht, 2
196.0, 0.765625, ht, 2
203.0, 0.79296875, ht, 2
189.0, 0.73828125, ht, 2
205.0, 0.80078125, ht, 2
207.0, 0.80859375, ht, 2
198.0, 0.7734375, ht, 2
187.0, 0.73046875, ht, 2
204.0, 0.796875, ht, 2
184.0, 0.71875, ht, 2
183.0, 0.71484375, ht, 2
210.0, 0.8203125, ht, 2
212.0, 0.828125, ht, 2
188.0, 0.734375, ht, 2
191.0, 0.74609375, ht, 2
184.0, 0.71875, ht, 2
184.0, 0.71875, ht, 2
196.0, 0.765625, ht, 2
181.0, 0.70703125, ht, 2
188.0, 0.734375, ht, 2
215.0, 0.83984375, ht, 2
199.0, 0.77734375, ht, 2
189.0, 0.73828125, ht, 2
204.0, 0.796875, ht, 2
199.0, 0.77734375, ht, 2
201.0, 0.78515625, ht, 2
186.0, 0.7265625, ht, 2
192.0, 0.75, ht, 2
192.0, 0.75, ht, 2
189.0, 0.73828125, ht, 2
190.0, 0.7421875, ht, 2
191.0, 0.74609375, ht, 2
